Title,Story_line
1182. Cita,A sexually charged story about a young woman who secretly sleeps with her husband's son. The two form an alliance to kill her husband but fate has other plans for Cita.
1183. Space Cadet,"Rex, a Florida party girl, turns out to be the only hope for the NASA space program after a fluke puts her in training with other candidates who may have better resumés, but don't have her smarts, heart, and moxie."
1184. Striking Rescue,A veteran Muay Thai expert goes on a take-no-prisoners mission of revenge after his wife and daughter are brutally murdered by mysterious forces.
1185. The Soul Eater,"When violent and gruesome deaths starts plaguing a small mountain village, an old legend about a malevolent creature resurfaces."
1186. First Taste,"Yuna, a woman engaged with her long time boyfriend, Nicco, starts to have second thoughts when she meets again her first love, Becca. Now she is torn between the man she loves and the woman she first loved."
1187. The Beautiful Game,Advocates to end homelessness organize an annual tournament for homeless men to compete in a series of football matches known as The Homeless World Cup.
1188. Init,"When a young barrio lass moves in to the city to study, she lives in a boarding house with other college students. Unknown to them, behind her shy and timid personality is a woman with insatiable hunger for sex."
1189. Mon Potongo,"Two young outcasts from different faiths dream of owning a luxury armchair they see in a store window. Working as laborers in the big city, they fight against social barriers and poverty to make their shared dream come true."
1190. Top 1,"Azi and Dex are both vying to be their batch valedictorian but Dex is always behind Azi. He then plans to make her fall in love to be a distraction, but his plan is a double-edged sword."
1191. A Brother and 7 Siblings,"After the untimely death of his older siblings, a struggling young architect suddenly becomes a ""single-parent"" for his nephews. When opportunity for a better life arises, he must choose between his love life, career, or his nephews."
1192. The Shameless,"After killing a cop in a Delhi brothel, Renuka takes refuge in a northern India community of sex workers. There, she begins a forbidden romance with the 17-year-old Devika. Against all odds, they try to forge their path to freedom."
1193. Strictly Confidential,"A haunted young woman finds herself drawn into a world of seduction, duplicity and betrayal as she desperately tries to uncover the mystery surrounding her best friend's suicide."
1194. Woody Woodpecker Goes to Camp,"Woody Woodpecker must find a new home after being kicked out of the forest. At Camp Woo Hoo, he thinks he's found a forever home, but there's an inspector on the loose who wants to shut down the camp."
1195. Thiru.Manickam,"A man who is getting chased by everyone for doing good, yet he overcomes opposition. Among everyone who is trying to survive, this man wants to live. Shows how Manikkam becomes Thiru Manikkam"
1196. TL,"Brenda, a top agent in a BPO company, is always overlooked for promotion. But not this time; as she gets more than intimate with her TL. Is her long awaited position within her reach? Or did she just put herself in a bad situation?"
1197. Hijack '93,"In an effort to dismantle their military-backed government, four men hijack an airplane, leveraging passengers on board in the name of social change."
1198. The Vampire Next Door,"Introverted Cameron, is desperately in love with his high school crush Diane. But his romantic pursuit is halted when Victoria, a female vampire moves in next door. Cameron soon discovers he's in the middle of a life-and-death adventure."
1199. The Long Game,"Ambitious young actress Holly Sloan agrees to help her boyfriend Richard Metzger scam Hollywood legend Mariah McKay, but the two women strike up an unlikely friendship instead. Soon Holly must decide where her true loyalties lie."
1200. Escape,Follows the struggles of a North Korean sergeant who is chased by a ruthless major after he defects.
1201. Harbin,Follows Korean independence activists who launched a daring attack in Harbin against the Japanese to gain their country's independence.
1202. Bogota: City of the Lost,"Young man moving to Colombia with his family for a better life, but he ends up living from hand to mouth. He later goes against all odds to dominate Bogota's black market."
1203. Bloody Mary,"Two witches' Blood Moon ritual requires a male sacrifice, but tonight's chosen one disrupts their plans. As they face unexpected dangers and personal demons, their bond proves more powerful than magic."
1204. Ayalaan,"A lost alien seeks help to go back to his home, but everything gets harder after the alien returns to its home."
1205. Dashmi,Dashmi sheds light on the sensitive issue of multiple rapes plaguing our society.
1206. Kabitan,"Alice, a depressed mistress, forms a deep emotional and sexual bond with Mika, her neighbor, who is also a mistress. Then, the inevitable happens, they fall for each other."
1207. The Groomsmen Last Dance,"Jackson moves to Italy to be near his daughter, but a chance meeting with cafe owner Gabriella, and some meddling friends, may lead to a second chance at love."
1208. The Girl in the Pool,A well-to-do family man is forced to struggle through a surprise birthday party moments after hiding the murdered corpse of his mistress.
1209. Guntur Kaaram,"Years after his mother abandons him and remarries, a man demands answers when he's asked to sign a document denying he is her son as she runs for office."
1210. The Calendar Killer,Klara is going to die today unless she kills her husband instead. The Calendar Killer has given her that impossible choice. When Jules starts his night shift at a safety helpline for lonely women on their way home Klara's call reaches him.
1212. Donselya,"An 18-year-old virgin, Iris, enters a marriage of convenience with wealthy widower Joaquin for financial gain. However, the discovery of her deceit regarding her purity leads to a disastrous honeymoon."
1213. The Kingdom,The story is set in the Kingdom of Kalayaan in the contemporary era in an alternate version of the Philippines where the islands were never colonized.
1214. Whisper of the Witch,"Mara, an ancient pagan spirit, hunts a group of teenagers taking their body parts to be reborn. A disillusioned and desperate investigator has to face his deepest fears to save the teenagers."
1215. Justicia artificial,A judge evaluating AI court software discovers murder and conspiracy when the creator dies. She must confront powerful state interests while her life hangs in balance. A thriller on AI's role in justice.
1216. The Family Star,"The highs and lows of family relationships in a Indian middle-class family. The life of Govardhan, who wants to achieve greatness in life but has to navigate through a myriad of relationship/trust/ego issues."
1217. 2073,A woman living in a ruined Earth tries to comprehend how the world was destroyed.
1219. Sunray: Fallen Soldier,"A war veteran calls on friends from his past to hunt down those responsible for the death of his daughter. Along the way, he learns more about himself than he anticipated as a violent crime syndicate unravels in his wake."
1220. Naomi: Reversed,"A teacher named Naomi takes in Yuzuru, a younger man she found alone. While caring for him like a stray cat, she falls for him despite his wild nature. She questions her choice but has no one to confide in."
1221. Appuram,"A teenager battles fear, societal taboos, and gender bias while honouring a promise to her mother in this poignant coming-of-age story."
1222. I Love You Forever,A subversive romantic comedy gone wrong that follows a young woman into and out of an emotionally abusive relationship.
1223. Bhool Bhulaiyaa 3,"Ruhaan, a fraudster posing as an exorcist, takes on a lucrative case at a haunted castle, unraveling a sinister plot involving mischievous priests, culminating in a hilarious yet thrilling ride filled with unexpected twists and scares."
1224. A Stranger by the Hill,"Mahi, an NRI photographer visiting her late mother's beloved Manali, meets charming teacher Angad. After a passionate night together, she finds herself locked in and trapped in an increasingly dangerous situation."
1225. Dilig,"About to get married to an old, wealthy businessman, Resa enlists the help of gardener Otso to seduce her fiancé's daughter, Katelyn, and record his sexploits with her in order to get her disowned."
1226. Find Me Falling,"After a failed comeback album, rock star John Allman escapes to a dreamy Mediterranean island, only to discover that his new cliffside home has an unfortunate notoriety that attracts unwanted visitors and an old flame."
1227. Autumn and the Black Jaguar,"After years in New York City, 14-year-old Autumn returns to the Amazon rainforest to save her childhood village and beloved jaguar friend."
1228. Boy Kaldag,"A man famous for being well-endowed, drives women wild and sparks envy among other men. As his legend grows, Boy Kaldag plunges into a world of lust and chaos that comes with his special characteristic."
1229. Vicky Vidya Ka Woh Wala Video,"A newly married couple's relationship and reputation are put at risk when their private video CD is stolen. The story follows their roller coaster journey to recover the CD, navigating a series of unexpected difficulties along the way."
1230. Hitpig,A bounty hunter pig finds himself trekking the globe with a free-spirited elephant he intended to capture.
1231. Vegan,"A vegan social media influencer goes on a quest to document the search for her biological parents. Her search leads her to a defunct, secluded farm where she encounters The Farmer, and her worst nightmares become reality."
1232. Unpredictable,"A modern thriller filled with intense sexual tension. Betrayal, jealousy, revenge and lies. A plot full of tension and twists of events."
1233. Indian 2,"Senapathy, an ex-freedom fighter turned vigilante who fights against corruption. Senapathy returns to the country to aid a young man who has been exposing corrupt politicians in the country through videos on the internet."
1234. Life After Fighting,"A martial arts instructor is confronted with the disappearance of two of his students, leading him into a direct confrontation with a group of international child traffickers."
1235. Kulong,"Three celibate friends seclude themselves at a resort to pen a steamy script for a competition, but struggle to write convincingly about intimacy they haven't experienced."
1236. Ronny - The ruler,"A disillusioned actor turns into a feared mass rowdy, using his power to dismantle corrupt systems amid societal conflicts."
1237. Finding Faith,"Victoria, a Christian advice columnist writing under the name Faith, begins to lose her faith after a series of life events. On her journey back to God, she also finds her way back to love."
1238. Uhaw,A wife learns that her husband who's in coma had an affair. She confronts the other woman but instead finds solace in her. She then realizes she's falling for her husband's mistress.
1239. Witchy Ways,"Retreating to a cabin her late mother believed was magical, a skeptical Eve meets Danni, a witch whose secrets challenge Eve's logic. As romance sparks, supernatural secrets and a vengeful neighbor threaten everything Danni holds dear."
1240. Angels Fallen: Warriors of Peace,"When an Iraq War veteran receives a calling from a higher power, he embarks on a mission to stop a fallen angel from raising an army of the dead to take over the world."
1241. Pakal Iravu,"Stranded in a deep forest after his jeep breaks down, Antony seeks refuge in the isolated home of a man named Viruman."
1242. Do Not Enter,"Two friends, aspiring YouTubers, trespass where they shouldn't. Their adventure takes a terrifying turn as they confront an unimaginable horror."
1243. Water Horse,A paranormal investigator links a bizarre string of seemingly unrelated events to the disappearance of her mother.
1244. Pukpok,"Jennilyn, a hardworking secretary at a construction site hides a lot of dark secrets. When she seeks the help of the newest employee, her plans start to collapse."
1245. Kill Em All 2,Phillip comes face to face with a Russian-French terrorist who comes exact vengeance on him for killing his brother.
1246. Utopia,"Soldier investigates wife's disappearance, infiltrates facility believing she's trafficked. Discovers facility is futuristic fantasy park blurring reality and illusion, complicating his search for truth about her fate."
1247. Dirty Ice Cream,"Villagers are experiencing an extreme heat. Two hot ice cream vendors come to the village to sell ice cream. With electricity out, the women of the subdivision take turns having the vendors satisfy their every needs."
1248. A Mistake,"In the midst of a new scheme to publicly report surgeons' performance, a gifted surgeon's life is thrown into disarray as her colleagues begin to close ranks, and even her partner who is a nurse at the hospital turns her back on her."
1249. Crust,"A depressed has-been child actor and owner of a dingy laundromat, becomes powerfully vengeful when his collection of lone socks transforms into a protective, cute, murderous monster named Crust."
1250. The Gentleman,"Eccentric director Rande faces threat from young actor Dane to his success, Oscar aspirations, marriage, and career. His jealousy and indecisiveness jeopardize his lavish Hollywood life, forcing him to reevaluate priorities."
1251. Heart of the Hunter,A retired assassin is pulled back into action when his friend uncovers a dangerous conspiracy at the heart of the South African government.
1252. The Curse of the Necklace,Family navigates turbulent 1960s dynamics. Mom separates from alcoholic husband. Daughters grapple with changes. Dad's antique gift hides dark force that imperils all.
1253. Siren,"An ambulance driver turned criminal eagerly awaits his release from prison, but it takes 14 years."
1254. Pedro Páramo,"Follows a dusty road to a town of death. Time shifts from one consciousness to another in a hypnotic flow of dreams, desires and memories, a world of ghosts dominated by the figure of Pedro Páramo, lover, overlord, murderer."
1255. Darkness of Man,"Interpol operative Russell Hatch witnesses the death of an informant when a seemingly routine raid goes wrong. Years later, he finds himself protecting the informant's son from a group of merciless gangs involved in an all-out turf war."
1257. Stag,"Gold reappears after vanishing for months. His car breaks down in a remote area. He meets peculiar people in a house. Waking up in his car, he questions if it was a dream or reality."
1258. The Clean Up Crew,"When a crime scene cleanup crew discovers a briefcase full of money, they are unwittingly sent into a battle with a ruthless and corrupt crime boss, mobsters, hitmen, and corrupt government agents who are hell-bent on getting it back."
1259. Dominique,"Trained assassin Dominique, escaping her troubled past, crash lands her plane in a Colombian town rife with violence. Sheltered by a family, she faces attacks from police and must choose between self-preservation or defending her hosts."
1260. The Bad Shepherd,A group of friends on a hunting trip accidentally run over a woman carrying a bag of money. Their loyalty is put to the test when a strange man comes knocking.
1261. Shirley,Shirley Chisholm makes a trailblazing run for the 1972 Democratic presidential nomination after becoming the first Black woman elected to Congress.
1262. Lover,"Arun and Divya's six-year relationship starts unraveling as they drift apart, raising the question of whether love can withstand such differences."
1263. The Present,"A brilliant boy discovers that he can manipulate time using a family heirloom. He soon teams up with his siblings in returning to the time of their parents' separation, with hopes of changing the outcome."
1264. Get Fast,"After a heist goes wrong, a thief and a troubled orphan must rescue his kidnapped partner from a ruthless drug lord and her charming hitman."
1265. Cookster: The Darkest Days,"A dyslexic teen misunderstood by his family and desperate for respect, becomes a drug dealer struggling with addiction and debt while a rival threatens to destroy his world, driving him apart from the woman he loves."
1266. A Thousand Cuts,"True crime hosts covering a 30-year-old murder find their crumbling relationship mirroring the brutal case they're investigating, all while broadcasting live."
1267. Deadly Ruphoria,"A rare night out for college student Shana Jones turns deadly when Romeon Kingston, the head of a human trafficking ring, sets his sights on her."
1268. Siddharth Roy,"Siddharth Roy Embraces logic and reason but is overwhelmed by emotions, resulting in heartache and inner turmoil."
1269. The Nut Farm,A cryptocurrency trader from San Francisco takes over his missing uncle's macadamia nut farm in the Australian town of Cobweb but he soon realizes the offer comes with conditions.
1270. Nazi Supersoldier,"Searching for an adventurous story in the woods, a group of journalism students awaken a superhuman being from its lost cryo-chamber. A long night of man hunting and desperation ensues."
1271. Level Cross,"An estranged woman and an unruly man from different worlds meet at a surreal setup. Despite their differences, they discover unexpected similarities about life."
1272. Gaslit by My Husband: The Morgan Metzer Story,"Morgan's ex-husband Rodney shows up minutes after a masked intruder has assaulted her in her home. Rodney's answers to the authorities' questions don't seem to add up, which makes him the prime suspect in the attack. Based on a true story."
1273. Wallbanger,"Caroline, a single interior designer, moves into what seems like the perfect apartment only to be awakened nightly by her neighbor, the 'wallbanger,' sparking an unexpected, tension-filled connection."
1274. Cinderella's Curse,"Based on the same folktale that Disney updated and popularized for children, back in the 1950s."
1275. Chandu Champion,A man who faced one adversary after another with an undying spirit. His unwavering zeal and never give up attitude led to India's first individual gold medal in any form of the Olympics.
1276. Tu Sangre,"My mother vanished inside the boarding school where she worked. Through a Ouija board, she told me to look for her. My name is Sofia. I'm 14 years old and I'm going to enroll at the boarding school to find the body of my mother."
1277. Don't Mess with Grandma,"A drunk Army ranger must fight off the vicious robbers who plan to loot the cabin belonging to his sweet, oblivious grandmother."
1278. Kardes Takimi,The story follows a family with kids and parents that are agents. One day the parents tell the kids that they will be away for 2 days. When the parents arrive they get trapped. The kids find a robot and they go on a adventurous journey.
1279. Tim Travers & the Time Travelers Paradox,What happens if you travel back in time and eliminate your younger self? Terminally bored mad genius Tim Travers seeks to find the answer and unravel the time traveler's paradox. The Result? A crazy comedic adventure beyond comprehension.
1280. Stolen,"A young woman's struggle to defend her indigenous heritage in a world where xenophobia is on the rise, climate change is threatening reindeer herding, and young people choose suicide in the face of collective desperation."
1281. Before Dawn,The journey of fictional WA outback kid Jim Collins and his battalion on the Western Front.
1282. She's Obsessed with My Husband,"A woman moves in next door to her ex high school boyfriend, he's now married, and she schemes to end his marriage so she can become his wife instead."
1283. Pantasya ni Tami,"A-Lister Azi Acosta approaches the sexier side of cosplaying. Tami, with the help of her fubu photographer, Ken, sells sexy photos of herself."
1284. Running on Empty,"Follows Mort who discovers he has less than a year to live, and after his fiancé leaves him, he meets Kate in a dating service that matches people by their death dates, all while being stalked by a disturbed pimp."
1285. The Little Mermaid,"Dr. Eric Prince, an archaeologist, makes a dramatic discovery on a small Caribbean island-proof of an ancient, advanced prehistoric society. While his dig is in progress, he meets the mysterious and beautiful Aurora Bey and falls in love."
1286. Saripodhaa Sanivaaram,"In order to defend the innocent from a corrupt and brutal cop, a vigilante hero must work around his own self-imposed code of honor."
1287. Ashes,"A wealthy, married woman falling in love with a mysterious carpenter, which will lead to many conflicts."
1288. Munjya,"A young man's visit to his native village unveils a family secret and a vengeful spirit, the Munjya, who wants to get married. Now the young man must fight to protect himself and his love from Munjya's clutches."
1289. Hagen,"A reinterpretation of the Nibelungen saga centering on Hagen von Tronje, a Viking who allies himself with the ancient gods and takes up arms against an unscrupulous ruler."
1290. Despatch,"News going digital, veteran crime journalist Joy fights irrelevance. Seeking major scoop and personal redemption, he pursues a perilous investigation into Mumbai's underbelly, unearthing dark secrets."
1291. Bau: Artist at War,"The inspiring love story of Joseph Bau, artist, forger, holocaust survivor. Using his artistic skills, humor and hope in the camps, Joseph stays alive and helps hundreds to escape. Miraculously, he finds love in the midst of despair."
1292. Golden Kamuy,"In the early 20th century in Hokkaido, Japan, a treasure hunt between various parties takes place for a hidden stash of gold."
1293. Paluwagan,"In a province where most housewives are deprived of intimacy by their busy husbands, a new savings cooperative is introduced by a merchant. The salary to claim: cash or a night with a mysterious man. The women surely know what to choose."
1294. Late Bloomer,"When Therese learns that her days are numbered, she seeks the help of her friend Maddie to find guys to have sex with, but she soon discovers her real sexual cravings."
1295. The Deb,An original comedy musical about two teenage girls attending a debutante ball in a small rural town.
1296. Succubus,A group of young people arrives to a remote village where they encounter an ancient spirit - a succubus - that can take human disguise. It feeds on one's deepest fears and brings out the darkest side in people.
1297. Billy & Molly: An Otter Love Story,A man forms an unlikely friendship with a wild otter while living in the remote Shetland Islands
1298. Golam,A mysterious death during work hours in an office puzzles all but only Investigator ASP Sandeep Krishna observes it as a murder.
1299. Explosions in My Heart,"Billy falls for Nilo but later learns her lover practices polyamory, forcing her to reevaluate the relationship and her own desires."
1300. Hard Home,"A mother who is deeply saddened lures her daughter's killer into her smart home in order to take revenge, and gets involved in a distorted game where life and death are at stake."
1301. Love Story,Tells the love story of a model and a director.
1302. X Files,"In the world there are thousands of mysteries still unsolved, the problem is when these mysteries become our greatest fears of our life. These stories awaken our worst nightmares."
1303. Joe Baby,"A money collector for a private investigator is hired to track down 10 million dollars stolen in a dodgy real estate deal, opening a complex can of worms."
1304. Eating the Future,"An eco-investigator is traumatised by her work accessing factory farms and documenting animal abuses undercover. Terrified of a future of climate apocalypse, she embarks on a journey into the food systems that shape our planet, to look for hope."
1306. Laws of Man,"At the dawn of the Cold War, two U.S. marshals pursue a wanted murderer in the deserts of Nevada."
1307. A Beautiful Imperfection,"The passionate story of the life and love of Lucia, a renowned veiled courtesan who is the exception to the rule."
1308. Bhairathi Ranagal,"Bhairathi Ranagal delves into the story of Ranagal. How did he rise to such prominence? The film focuses on his origin, his journey to power, and who he was before he became the most dreaded gangster of Ronapura."
1309. F-Buddies,"Jas' boyfriend breaks up with her because she's boring. To prove him wrong, and just to continue to be with him, she agrees to be his f*** buddy."
1310. Here After,"Claire is overjoyed when her daughter Robin is miraculously revived after a fatal accident. But her relief turns to dread as Claire notices changes in her daughter, suspecting something dark has followed her back from the brink of death."
1311. Huwad,"When Romina learns that her husband has been cheating on her, she turns to the town's folk healer for help and obtains a love potion. But it seems the potion is working on everyone except her husband."
1312. This Too Shall Pass,"Simon, a 16-year-old suffocated by his strict Mormon upbringing, rebels and crosses the border with friends for a weekend in Canada, as they individually discover more about themselves."
1313. Special Needs Revolt!,"In a future dystopia, a man with Down syndrome joins a rebellion against America's cruel dictator who has put all people with disabilities back into institutions."
1314. DarkGame,"A determined detective is in a race against time to stop a twisted game show on the dark web, where captives are forced to compete for their lives."
1315. Mechanic,"Celebrities are know need to looks likes Abdhul kalam and Abraham Lincoln, might be as a arrogant guy .He is the symbol to show ,How should not be a man and he is the signature to say ,How should be a great man. This is the life story of that person."
1316. The Sabarmati Report,"A Hindi reporter struggles with a deadly fact when a train full of Karsewaks is set ablaze in Godhra. Years later, he is asked to help expose the Sabarmati Incident backed by a buried report."
1317. Restless,"A middle-aged empty nester's mundane life is upended when raucous new neighbors move in next door, unleashing potential danger and disruption."
1318. Bogieville,A young couple on the run come across a derelict trailer park 'Bogieville'.
1319. Hot Spot,It features three stories that are humorously evocative and a fourth one that's deeply disturbing.
1320. Johnny Puff: Secret Mission,Follows Johnny Puff and his friends as they embark on a secret mission to save Taigasville from the evil plans of Otto von Walrus.
1321. Murder Mubarak,"During a murder investigation, a non-traditional police officer turns a spotlight on an array of suspects. He steps into their world as an outsider, only to find there is so much more than what meets the eye."
1322. Vettaiyan,Ruthless criminal activity is met with force from a maverick police officer with a disregard for the rules as he confronts an outbreak of lawlessness.
1323. Saint-Exupéry,"When Airmail's best pilot Henri Guillaumet disappears in the Andes, his best friend Antoine de Saint-Exupéry decides to set out in search of him against all odds."
1324. Animale,"Camargue, France - Nejma trains hard to win the local bullfighting competition. When she is mauled after a celebration, she starts to notice disturbing changes. News of a rogue bull on the loose terrifies the community, killing young men."
1325. Mars,"A zany crew of misfits blasts off to Mars, only to find they've been duped by a scheming billionaire. Chaos ensues as they face bizarre challenges and unexpected surprises on their wacky interplanetary journey."
1326. From Embers,"After her husband dies in a lab fire, a widowed mother of an autistic son must try to piece her life together while uncovering what really happened on that fateful night."
1327. The Wild Blade of Strangers,"In a power struggle, the Prince of Qi executes the Crown Prince's heir. Charcoal seller Tian Anye gets entangled, revealing his past and truth about Liang City's deceased residents amid chaos of foes and allies."
1328. Stranger in the Woods,"Follows Olivia and her friends as they go on a vacation. After Olivia nearly drowns with a slit wrist in her bathtub after her fiancé's funeral, her friends suspect that she tried to kill herself, but she believes someone attacked her."
1329. Mr. Crocket,A mother embarks on a perilous quest to rescue her son from a demonic children's show host who is kidnapping kids.
1330. Junction,"Junction addresses the modern day opioid crisis in America, and asks how did this happen, from three different points of view. The CEO of a pharmaceutical company, a doctor, and a patient."
1331. Khel Khel Mein,Revolves around a group of friends who gather for a dinner and end up revealing secrets about each other.
1332. Rebellious,"In this modern twist on a classic fairy tale, a headstrong princess is stolen by an evil sorcerer, and her scholarly fiancé must use his wits in an epic quest to find her while she boldly challenges her captors and plots a daring escape."
1333. City Hunter,"An exceptional marksman and hopeless playboy, private eye Ryo Saeba reluctantly forms an alliance with his late partner's sister to investigate his death."
1334. Swimming Home,"An adaptation of cult author Deborah Levy's unique and provocative novel about love, loss and longing. A woman invites a naked stranger found floating in the pool of her family holiday villa to help her set those she loves free."
1335. The Pee Pee Poo Poo Man,A paranoid young man launches a bizarre crime spree against the citizens of Toronto.
1336. Manamey,"A charismatic playboy's life is upended when a young boy enters his world, initially causing chaos but gradually becoming an integral part, exploring themes of love, family, and growth."
1337. Gacy: Serial Killer Next Door,"A teenager's life in a quiet suburb changes drastically when John Wayne Gacy, a famed serial killer, becomes his neighbor. His curiosity leads to dark secrets and a frightening journey from innocence to a dire clash with evil."
1338. First Shift,"Follows a NYC policer officer along with his rookie partner Angela, as they have a rough day while living the dangerous, and routine job of being a cop in the city."
1339. Ben and Suzanne: A Reunion in 4 Parts,The romantic reunion of Ben Santhanaraj and Suzanne Hopper is thwarted when Suzanne's boss asks her to work during their holiday road trip.
1340. When in Rome,"To celebrate a lifelong marriage, Gerda and Kristoffer travel to Rome to relive the city where Gerda was once an aspiring art student. When they run into her former teacher and lover Johannes, Gerda is reminded of the life she used to live, and Kristoffer is sidelined while Gerda wanders the streets of the Eternal City in search of her long-lost youth."
1341. Mr. Manhattan,Mason Bradley's life turns upside-down when he unexpectedly becomes the sole guardian of his late brother's kids after prioritizing his law career and ending his engagement.
1342. Takas,"Best friends, Angel and Lexi, run away after committing a crime. Their seemingly quiet life becomes messy when a new man enters the picture."
1343. The Traveller,"A college student's life changes when he meets a powerful woman after his grandfather's corpse is stolen. As he uncovers a dark conspiracy, he learns he belongs to a hidden group of people with supernatural abilities."
1344. Self Driver,"A desperate cab driver joins a mysterious money-making app, leading him into society's shadows. As the night progresses, his morals are tested and free will questioned. The depths he'll sink reveal themselves as darkness falls."
1345. Black Creek,"A sheriff's sister seeks revenge against the terrifying leader of a group of outlaws after discovering he brutally murdered her brother, his wife, and other family members in a gritty southwestern town."
1346. Haunted Heart,"When Alex joins the team of a boutique seaside restaurant, sexual tensions rise as she falls for the enigmatic restaurant manager Max. Blinded by her feelings, the relationship slowly slides into a harrowing tale of survival."
1347. Riefenstahl,"Explores Leni Riefenstahl's artistic legacy and her complex ties to the Nazi regime, juxtaposing her self-portrayal with evidence suggesting awareness of the regime's atrocities."
1348. Kabit,"Laura accepts the role in this play to rebel against her mother. The director pushes her to bring out her vulnerability and anger, hoping they will show these emotions on stage."
1349. Can You Hear Me?,A World War 1 Romantic Ghost Story
1350. Overlord: The Sacred Kingdom,"Momonga, now known as the Sorcerer King Ains Ooal Gown, rallies the Sorcerer Kingdom and its undead army to join the fight alongside the Sacred Kingdom and the Slane Theocracy in hopes to defeat the Demon Emperor Jaldabaoth."
1351. Midnight Perturbation,"An ancient demon is discovered and awoken by prying hands, wreaking havoc on the lives of those closest to it. Where they must do all they can to stop it from unleashing hell on earth."
1352. Mutants of Nature Cove,"Party girls take shy Beth to nude beach with secluded Mutants causing hallucinations. Mysterious woman chants spells, Mutants attack. Beth plans to send soul-stealing Mutants back to hell permanently."
1353. Devon,"After their daughter vanished from an asylum, Devon's parents engage five explorers to investigate the abandoned site years later via cryptic website, unaware of the sinister one-way journey and terrifying deadly experience awaiting them."
1354. Adult Best Friends,"Inseparable since childhood, levelheaded Katie takes her codependent best friend Delaney on a girls' trip to break the news that she is getting married. Things do not go as planned."
1355. 35-Chinna Katha Kaadu,"Revolves around a young mother facing challenges when her son fails to secure passing marks, igniting events that test the family's resilience and unity."
1356. The Witch: Revenge,"In the aftermath of the Russian invasion of Ukraine in February 2022, a witch from Konotop seeks revenge on the Russian soldiers who killed her fiancé."
1357. The Twin,"After the tragic loss of his son, a man begins experiencing terrifying visions of a figure that looks like himself. As reality unravels, he must confront his past and the supernatural force haunting him before it consumes him completely."
1358. The Playroom,"Fırat and Filiz come to a small hotel called Evcilik on the Aegean coast to add some color to their boring lives, and they disturb the owner of the hotel and his wife by imitating their accents and their love for each other."
1359. Inheritance,"Estranged sisters Lucy and Paige reunite to bury their father, becoming entangled in the complicated web of their past as they realize that they have inherited more from their father than just money."
1360. CTRL,"Nella and Joe are the perfect influencer couple, but when he cheats on her, she turns to an AI app to erase him from her life - until it takes control."
1361. Bloody Axe Wound,"Abbie Bladecut's family business, a video store, has thrived by disposing of teenagers to mimic horror movies. As the first female slasher, she battles gender bias while realizing the harsh realities behind the mass murders."
1362. Crackcoon,"A raccoon ingests a discarded synthetic drug and mutates into a vicious killer. It rampages through a mountain community, threatening campers, tourists, and residents. No one is safe from the monstrous raccoon's violent onslaught."
1363. Boléro,"In 1928 Paris, choreographer Ida Rubinstein commissions Maurice Ravel to compose the music for her next ballet. Facing a crisis of inspiration, the composer revisits his life and dedicates himself to create a universal masterpiece, Bolero."
1364. Bad Fish,"When a marine biologist investigates mysterious deadly attacks on fishermen in an Oregon coastal town, he discovers the culprit is a mermaid who must find a mate to breed with before returning to the sea."
1365. The Best Friend,"On Canoa Quebrada beach, the reunion between two friends rekindles old desires."
1366. Eye for an Eye 2,"A blind swordsman reluctantly mentors an orphan seeking vengeance for his destroyed family, teaching him martial arts skills. The orphan waits for an opportunity to avenge his kin."
1367. The Damned,"In the winter of 1862, during the Civil War, the U.S. Army sends a volunteer company to patrol the uncharted Western territories."
1368. Butas,Witness how lives of four young people who have various sexual quirks and inhibitions intertwine as they live together in a snug boarding house.
1369. Phir Aayi Hasseen Dillruba,"While evading the cops in Agra, Rani and Rishu scheme to run away together. But when their plans go awry, Rani asks a mild-mannered admirer for help."
1370. Blood Star,A petty thief driving through the New Mexico desert finds herself the target of a psychopathic small town sheriff who views his badge as a license to prey on vulnerable young women. She must use all of her street-smarts to survive.
1371. Heresy,"In a medieval Dutch village, a young woman is caught between her faith, fanatic townsfolk and the dark forces lurking in the woods."
1372. Bagheera,"When society turns into a jungle, just one predator cries out for justice."
1373. Snatched,"When a dangerous criminal from her past breaks out of prison, a former CIA agent must tap back into her lethal skills to protect her family."
1374. Side Effects May Vary,"A science skeptic takes an experimental vaccine during a pandemic to treat his illness. The cure works instantly, but he'll learn it's deadlier than the virus itself."
1375. Continental Split,"When a fault threatens to split the U.S., a desperate team of seismologists and government agents race to prevent disaster as the clock ticks down."
1376. Outlaw,"At the age of nine, Rebeca is sold by her grandmother. Disputed by bicheiros and drug dealers, the community is going through changes in power. Rebeca becomes the wife of the chief drug dealer."
1377. Dream Story,"High-society couple's marriage is tested when the husband discovers a secret erotic society and attends a masked ball, ignoring warnings of potential consequences, after his wife admits having fantasies about another man."
1378. The Lost Children,"Four Indigenous children are stranded in the Colombian Amazon after their plane crashes. Guided by ancestral knowledge, they're able to survive while awaiting rescue amid the jungle's challenges."
1379. Graduate with First Class,"Amit navigates love amidst Maya's influence and Niharika's genuine affection, facing choices that shape his fate, unraveling a tale of redemption and tragedy."
1380. The Fall,"A brash, amateur photographer, reeling from her mother's suicide, must rectify her self-destruction and accept the past in order to receive love and redemption."
1381. A.R.M,"Set in the Northern Kerala in 1900, 1950 and 1990, three generations of heroes, Maniyan, Kunjikelu and Ajayan, try to protect the most important treasure of the land."
